PDM001,Ube Loaf,Specialty Bread,60,42.00
PDM002,Pan de Coco Loaf,Specialty Bread,125,42.00
PDM003,Spanish Bread,Specialty Bread,180,45.00
PDM004,Ensaymada Monggo,Specialty Bread,80,40.00
PDM005,Macapuno Tart,Specialty Bread,110,105.00
PDM006,Leche Flan Tart,Specialty Bread,150,105.00
PDM007,Salted Yema Spread,Homegrown Spread,35,135.00
PDM008,Herb Cream Cheese,Homegrown Spread,20,255.00
PDM009,Strawberry Jam,Homegrown Spread,30,160.00
PDM010,Mango Jam,Homegrown Spread,40,185.00
PDM011,Triple Berry Jam,Homegrown Spread,15,180.00
PDM012,Soymilk Chocolate,Beverage,60,80.00
PDM013,Soymilk Melon,Beverage,25,80.00
PDM014,Soymilk Original,Beverage,50,78.00
PDM015,Nestle Fresh Milk,Beverage,10,120.00
PDM016,Mango Graham Crumble,Ice Cream,40,85.00
PDM017,Avocado Graham Crumble,Ice Cream,40,85.00
PDM018,Cookie Crumble,Ice Cream,40,85.00
PDM019,Vegan Tasty Loaf,Vegan,85,78.00
PDM020,Vegan Whole Wheat Loaf,Vegan,95,85.00
PDM021,Vegan Raisin Loaf Bread,Vegan,70,100.00
PDM022,Vegan Malunggay Bread,Vegan,55,85.00
PDM023,Vegan Cinnamon Pandesal,Vegan,60,95.00
PDM024,Spanish Sardines Tomato,Pantry Essential,100,145.00
PDM025,Spanish Sardines Corn Oil,Pantry Essential,100,145.00